city_id,city_x,city_y,text_region_filename,distance_from_city,transcribed_text,confidence,notes
124,12570,2100,city0124_region0,16.8,,,
124,12570,2100,city0124_region1,40.4,,,
124,12570,2100,city0124_region2,62.6,,,
125,6265,5007,city0125_region0,12.1,,,
125,6265,5007,city0125_region1,67.1,,,
125,6265,5007,city0125_region2,134.6,,,
126,11366,3543,city0126_region0,13.6,,,
126,11366,3543,city0126_region1,72.1,,,
126,11366,3543,city0126_region2,83.1,,,
127,9728,5102,city0127_region0,10.3,,,
127,9728,5102,city0127_region1,18.0,,,
127,9728,5102,city0127_region2,92.4,,,
128,5906,2085,city0128_region0,23.8,,,
128,5906,2085,city0128_region1,61.5,,,
128,5906,2085,city0128_region2,72.4,,,
129,12075,5287,city0129_region0,14.6,,,
129,12075,5287,city0129_region1,20.6,,,
129,12075,5287,city0129_region2,21.5,,,
130,9367,5228,city0130_region0,14.2,,,
130,9367,5228,city0130_region1,43.4,,,
130,9367,5228,city0130_region2,44.4,,,
131,5903,4472,city0131_region0,10.0,,,
131,5903,4472,city0131_region1,16.4,,,
131,5903,4472,city0131_region2,68.2,,,
132,11314,4190,city0132_region0,10.4,,,
132,11314,4190,city0132_region1,16.1,,,
132,11314,4190,city0132_region2,48.7,,,
133,1345,3999,city0133_region0,14.9,,,
133,1345,3999,city0133_region1,19.3,,,
134,11618,2591,city0134_region0,45.2,,,
134,11618,2591,city0134_region1,48.8,,,
134,11618,2591,city0134_region2,56.9,,,
135,5913,2162,city0135_region0,14.3,,,
135,5913,2162,city0135_region1,18.1,,,
135,5913,2162,city0135_region2,62.4,,,
136,11520,3822,city0136_region0,43.2,,,
136,11520,3822,city0136_region1,82.4,,,
136,11520,3822,city0136_region2,88.1,,,
137,11235,2608,city0137_region0,10.3,,,
137,11235,2608,city0137_region1,23.3,,,
137,11235,2608,city0137_region2,55.9,,,
138,5075,3349,city0138_region0,33.8,,,
138,5075,3349,city0138_region1,34.0,,,
138,5075,3349,city0138_region2,38.2,,,
139,2223,4666,city0139_region0,9.9,,,
139,2223,4666,city0139_region1,21.1,,,
139,2223,4666,city0139_region2,34.5,,,
140,6365,3710,city0140_region0,24.3,,,
140,6365,3710,city0140_region1,28.8,,,
140,6365,3710,city0140_region2,31.8,,,
141,11174,4338,city0141_region0,12.2,,,
141,11174,4338,city0141_region1,68.2,,,
141,11174,4338,city0141_region2,88.6,,,
142,1190,1929,city0142_region0,10.0,,,
142,1190,1929,city0142_region1,10.8,,,
142,1190,1929,city0142_region2,39.7,,,
143,5245,3228,city0143_region0,21.0,,,
143,5245,3228,city0143_region1,54.3,,,
143,5245,3228,city0143_region2,70.7,,,
144,8412,4586,city0144_region0,10.0,,,
144,8412,4586,city0144_region1,98.4,,,
144,8412,4586,city0144_region2,118.3,,,
145,6588,1985,city0145_region0,17.5,,,
145,6588,1985,city0145_region1,40.0,,,
145,6588,1985,city0145_region2,66.2,,,
146,12015,1090,city0146_region0,0.0,,,
146,12015,1090,city0146_region1,16.4,,,
146,12015,1090,city0146_region2,71.8,,,
147,10189,4544,city0147_region0,22.1,,,
147,10189,4544,city0147_region1,89.8,,,
147,10189,4544,city0147_region2,90.0,,,
148,8834,1922,city0148_region0,9.8,,,
148,8834,1922,city0148_region1,38.3,,,
148,8834,1922,city0148_region2,62.1,,,
149,2633,3245,city0149_region0,11.3,,,
149,2633,3245,city0149_region1,35.2,,,
149,2633,3245,city0149_region2,55.1,,,
150,10026,3610,city0150_region0,12.2,,,
150,10026,3610,city0150_region1,42.4,,,
150,10026,3610,city0150_region2,44.3,,,
151,9681,1340,city0151_region0,7.2,,,
151,9681,1340,city0151_region1,10.8,,,
151,9681,1340,city0151_region2,99.5,,,
152,5497,4034,city0152_region0,13.6,,,
152,5497,4034,city0152_region1,37.1,,,
152,5497,4034,city0152_region2,66.2,,,
153,2794,3425,city0153_region0,13.3,,,
153,2794,3425,city0153_region1,49.0,,,
153,2794,3425,city0153_region2,61.8,,,
154,6290,3306,city0154_region0,8.2,,,
154,6290,3306,city0154_region1,49.1,,,
154,6290,3306,city0154_region2,60.4,,,
155,10084,1857,city0155_region0,21.5,,,
155,10084,1857,city0155_region1,42.6,,,
155,10084,1857,city0155_region2,67.0,,,
156,7535,3786,city0156_region0,1.0,,,
156,7535,3786,city0156_region1,12.8,,,
156,7535,3786,city0156_region2,63.3,,,
157,10304,5003,city0157_region0,6.7,,,
157,10304,5003,city0157_region1,85.4,,,
157,10304,5003,city0157_region2,87.7,,,
158,11340,3014,city0158_region0,18.4,,,
158,11340,3014,city0158_region1,30.0,,,
158,11340,3014,city0158_region2,36.6,,,
159,5105,3046,city0159_region0,29.2,,,
159,5105,3046,city0159_region1,81.6,,,
159,5105,3046,city0159_region2,87.7,,,
160,3785,4205,city0160_region0,24.2,,,
160,3785,4205,city0160_region1,56.0,,,
160,3785,4205,city0160_region2,69.4,,,
161,6629,3553,city0161_region0,4.0,,,
161,6629,3553,city0161_region1,43.9,,,
161,6629,3553,city0161_region2,48.5,,,
162,11764,2397,city0162_region0,10.0,,,
162,11764,2397,city0162_region1,39.8,,,
162,11764,2397,city0162_region2,56.3,,,
163,4247,5121,city0163_region0,7.2,,,
163,4247,5121,city0163_region1,15.0,,,
163,4247,5121,city0163_region2,41.7,,,
164,9860,4000,city0164_region0,12.7,,,
164,9860,4000,city0164_region1,42.1,,,
164,9860,4000,city0164_region2,56.4,,,
165,8348,5236,city0165_region0,8.2,,,
165,8348,5236,city0165_region1,47.5,,,
165,8348,5236,city0165_region2,47.5,,,
166,11403,3832,city0166_region0,15.8,,,
166,11403,3832,city0166_region1,97.7,,,
166,11403,3832,city0166_region2,100.0,,,
167,8717,2212,city0167_region0,13.5,,,
167,8717,2212,city0167_region1,17.5,,,
167,8717,2212,city0167_region2,67.7,,,
168,10078,4522,city0168_region0,10.2,,,
168,10078,4522,city0168_region1,44.4,,,
168,10078,4522,city0168_region2,63.9,,,
169,8146,4668,city0169_region0,9.4,,,
169,8146,4668,city0169_region1,36.7,,,
169,8146,4668,city0169_region2,67.7,,,
170,11173,2357,city0170_region0,14.4,,,
170,11173,2357,city0170_region1,60.6,,,
170,11173,2357,city0170_region2,61.8,,,
171,5257,3125,city0171_region0,1.0,,,
171,5257,3125,city0171_region1,19.4,,,
171,5257,3125,city0171_region2,49.0,,,
172,3286,748,city0172_region0,49.7,,,
172,3286,748,city0172_region1,58.2,,,
172,3286,748,city0172_region2,62.6,,,
173,6285,2011,city0173_region0,23.3,,,
173,6285,2011,city0173_region1,60.4,,,
173,6285,2011,city0173_region2,105.5,,,
174,1050,4219,city0174_region0,5.0,,,
174,1050,4219,city0174_region1,8.0,,,
174,1050,4219,city0174_region2,38.9,,,
175,6087,1154,city0175_region0,26.9,,,
175,6087,1154,city0175_region1,28.2,,,
175,6087,1154,city0175_region2,43.0,,,
176,3124,2352,city0176_region0,24.5,,,
176,3124,2352,city0176_region1,33.2,,,
176,3124,2352,city0176_region2,43.9,,,
177,11781,1434,city0177_region0,29.1,,,
177,11781,1434,city0177_region1,67.8,,,
177,11781,1434,city0177_region2,77.1,,,
178,10114,4864,city0178_region0,17.2,,,
178,10114,4864,city0178_region1,18.0,,,
178,10114,4864,city0178_region2,67.5,,,
179,9849,4565,city0179_region0,11.4,,,
179,9849,4565,city0179_region1,29.2,,,
179,9849,4565,city0179_region2,124.3,,,
180,2694,4460,city0180_region0,11.2,,,
180,2694,4460,city0180_region1,43.3,,,
180,2694,4460,city0180_region2,73.1,,,
181,8854,4411,city0181_region0,9.2,,,
181,8854,4411,city0181_region1,77.7,,,
181,8854,4411,city0181_region2,89.4,,,
182,5915,2394,city0182_region0,7.2,,,
182,5915,2394,city0182_region1,20.1,,,
182,5915,2394,city0182_region2,100.0,,,
183,11191,5428,city0183_region0,48.3,,,
183,11191,5428,city0183_region1,49.6,,,
183,11191,5428,city0183_region2,58.9,,,
184,10528,1387,city0184_region0,13.0,,,
184,10528,1387,city0184_region1,77.4,,,
184,10528,1387,city0184_region2,84.9,,,
185,6733,2704,city0185_region0,10.4,,,
185,6733,2704,city0185_region1,60.1,,,
185,6733,2704,city0185_region2,79.6,,,
186,7896,5440,city0186_region0,13.4,,,
186,7896,5440,city0186_region1,15.6,,,
186,7896,5440,city0186_region2,83.6,,,
187,4896,3355,city0187_region0,22.7,,,
187,4896,3355,city0187_region1,39.1,,,
187,4896,3355,city0187_region2,50.8,,,
188,7436,3695,city0188_region0,4.1,,,
188,7436,3695,city0188_region1,28.8,,,
188,7436,3695,city0188_region2,101.4,,,
189,1672,4853,city0189_region0,21.9,,,
189,1672,4853,city0189_region1,81.1,,,
189,1672,4853,city0189_region2,92.0,,,
190,2809,3028,city0190_region0,23.3,,,
190,2809,3028,city0190_region1,27.8,,,
190,2809,3028,city0190_region2,62.4,,,
191,11205,3290,city0191_region0,33.8,,,
191,11205,3290,city0191_region1,52.2,,,
191,11205,3290,city0191_region2,69.3,,,
192,11012,4484,city0192_region0,1.0,,,
192,11012,4484,city0192_region1,33.1,,,
192,11012,4484,city0192_region2,44.0,,,
193,11878,3456,city0193_region0,16.6,,,
193,11878,3456,city0193_region1,55.9,,,
193,11878,3456,city0193_region2,61.1,,,
194,9163,5018,city0194_region0,5.1,,,
194,9163,5018,city0194_region1,32.2,,,
194,9163,5018,city0194_region2,50.7,,,
195,1336,3781,city0195_region0,8.0,,,
195,1336,3781,city0195_region1,11.0,,,
195,1336,3781,city0195_region2,39.4,,,
196,7826,4865,city0196_region0,2.2,,,
196,7826,4865,city0196_region1,59.5,,,
196,7826,4865,city0196_region2,70.8,,,
197,6948,3454,city0197_region0,25.3,,,
197,6948,3454,city0197_region1,48.8,,,
197,6948,3454,city0197_region2,56.0,,,
198,3855,2275,city0198_region0,0.0,,,
198,3855,2275,city0198_region1,32.2,,,
198,3855,2275,city0198_region2,47.0,,,
199,5821,4703,city0199_region0,23.8,,,
199,5821,4703,city0199_region1,45.2,,,
199,5821,4703,city0199_region2,59.4,,,
200,9856,3830,city0200_region0,27.9,,,
200,9856,3830,city0200_region1,55.7,,,
200,9856,3830,city0200_region2,72.8,,,
201,12355,592,city0201_region0,21.9,,,
201,12355,592,city0201_region1,31.6,,,
201,12355,592,city0201_region2,78.6,,,
202,10207,3853,city0202_region0,14.9,,,
202,10207,3853,city0202_region1,53.6,,,
202,10207,3853,city0202_region2,56.0,,,
203,6079,1814,city0203_region0,51.9,,,
203,6079,1814,city0203_region1,55.2,,,
203,6079,1814,city0203_region2,55.3,,,
204,8406,3972,city0204_region0,9.5,,,
204,8406,3972,city0204_region1,18.0,,,
204,8406,3972,city0204_region2,71.6,,,
205,554,2611,city0205_region0,25.5,,,
205,554,2611,city0205_region1,78.2,,,
205,554,2611,city0205_region2,92.8,,,
206,5151,2976,city0206_region0,8.9,,,
206,5151,2976,city0206_region1,75.0,,,
206,5151,2976,city0206_region2,94.8,,,
207,7386,4884,city0207_region0,21.0,,,
207,7386,4884,city0207_region1,33.0,,,
207,7386,4884,city0207_region2,50.6,,,
208,4915,1634,city0208_region0,2.8,,,
